SL;25;70;73;Records stores
SL;25;75;;Learning resources spaces
SL;25;75;04;Art and design resource spaces
SL;25;75;37;Heavy practical resource spaces
SL;25;75;40;Information and communications technology (ICT) resource spaces
SL;25;75;45;Learning resource centres
SL;25;75;47;Light practical resource spaces
SL;25;75;55;Music practice rooms
SL;25;75;76;School libraries
SL;25;75;80;Small group rooms
SL;25;75;82;Special educational needs (SEN) resource spaces
SL;25;80;;Preparation spaces
SL;25;80;22;Design technology preparation rooms
SL;25;80;27;Engineering preparation rooms
SL;25;80;30;Food preparation rooms
SL;25;80;75;Science preparation rooms
SL;25;90;;Worship spaces
SL;25;90;30;Faith spaces
SL;25;90;65;Prayer rooms
SL;25;90;78;Shrines
SL;30;;;Industrial spaces
SL;30;10;;Mineral extraction spaces
SL;30;10;57;Offshore oil and gas drilling spaces
SL;30;10;59;Onshore oil and gas drilling spaces
SL;30;10;69;Quarrying areas
SL;30;10;85;Surface mine workings
SL;30;10;91;Underground mine chambers
SL;30;10;93;Underground mineshafts
SL;30;10;94;Underground mine tunnels
SL;30;20;;Nuclear and chemical management spaces
SL;30;20;70;Radioactive decontamination spaces
SL;30;20;75;Radioactive waste package transfer spaces
SL;30;30;;Mineral processing spaces
SL;30;30;33;Gas processing spaces
SL;30;30;58;Oil processing spaces
SL;30;30;59;Ore processing spaces
SL;30;40;;Animal and plant products processing spaces
SL;30;40;07;Bottling rooms
SL;30;40;10;Butter making rooms
SL;30;40;18;Cheesemaking rooms
SL;30;40;30;Fish processing rooms
SL;30;40;32;Fresh fruit and vegetable packing rooms
SL;30;40;44;Juicing rooms
SL;30;40;50;Meat processing rooms
SL;30;40;54;Milk processing rooms
SL;30;40;63;Plant fibre sorting rooms
SL;30;40;65;Poultry and game processing rooms
SL;30;40;75;Sawmills
SL;30;40;80;Silk production rooms
SL;30;40;82;Spinning rooms
SL;30;40;87;Tanneries
SL;30;40;88;Threshing rooms
SL;30;40;90;Tobacco drying rooms
SL;30;40;96;Weaving rooms
SL;30;40;98;Wool sorting rooms
SL;30;50;;Manufacturing spaces
SL;30;50;27;Electronics clean rooms
SL;30;50;30;Heavy industrial spaces
SL;30;50;40;Kiln rooms
SL;30;50;43;Light industrial spaces
SL;30;50;50;Manufacturing workshops
SL;30;50;60;Packaging lines
SL;30;50;61;Paint spray booths
SL;30;50;62;Pharmaceuticals clean rooms
SL;30;50;64;Printing spaces
SL;30;60;;Cleaning and maintenance spaces
SL;30;60;03;Animal cage washing areas
SL;30;60;11;Caretaker rooms
SL;30;60;13;Clothes drying and airing rooms
SL;30;60;22;Decontamination spaces
SL;30;60;24;Dry cleaning spaces
SL;30;60;42;Ironing rooms
SL;30;60;46;Laundrettes
SL;30;60;47;Laundries
SL;30;60;50;Maintenance workshops
SL;30;60;75;Service laundries
SL;30;60;93;Vehicle-cleaning areas
SL;30;60;94;Vehicle washes
SL;30;60;96;Wash-up spaces
SL;30;80;;Kinetic power generation spaces
SL;30;80;96;Watermill houses
SL;30;80;97;Windmill houses
SL;30;85;;Marine and water maintenance spaces
SL;30;85;08;Boat repair spaces
SL;30;85;20;Dock faces
SL;30;85;22;Dock sills
SL;30;85;24;Dry dock chambers
SL;30;85;30;Floating docks
SL;30;90;;Warehousing and distribution spaces
SL;30;90;33;Goods delivery bays
SL;30;90;48;Loading docks
SL;30;90;80;Sorting and distribution spaces
SL;30;90;84;Storage yards
SL;30;90;96;Warehouse spaces
SL;32;;;Water and land management spaces
SL;32;10;;Agricultural and horticultural spaces
SL;32;10;03;Arable fields
SL;32;10;26;Farmyards
SL;32;10;28;Fisheries
SL;32;10;30;Fish farm tanks
SL;32;10;34;Glasshouse spaces
SL;32;10;37;Hedges
SL;32;10;39;Hothouse spaces
SL;32;10;47;Livestock fields
SL;32;10;52;Milking parlours
SL;32;10;55;Mushroom cultivation spaces
SL;32;10;58;Organic waste treatment spaces
SL;32;10;60;Paddocks
SL;32;10;65;Polytunnel spaces
SL;32;10;66;Poultry batteries
SL;32;10;73;Seed banks
SL;32;10;75;Seed processing spaces
SL;32;10;77;Shearing spaces
SL;32;10;78;Sheep dips
SL;32;10;94;Vineyard spaces
SL;32;15;;Dam spaces
SL;32;15;17;Dam crests
SL;32;15;29;Dam faces
SL;32;15;37;Dam heels
SL;32;15;81;Dam spillway crests
SL;32;15;82;Dam spillway funnels
SL;32;15;83;Dam spillway faces
SL;32;15;89;Dam toes
SL;32;35;;Ground spaces
SL;32;35;02;Access strips
SL;32;35;04;Allotments
SL;32;35;22;Decking areas
SL;32;35;24;Driveways
SL;32;35;30;Flower beds
SL;32;35;46;Lawns
SL;32;35;60;Patios
SL;32;35;94;Vegetable gardens
SL;32;40;;Land managed spaces
SL;32;40;06;Berms
SL;32;40;16;Contaminated land areas
SL;32;40;26;Easement access areas
SL;32;40;27;Embankment cores
SL;32;40;28;Embankment crests
SL;32;40;29;Embankment faces
SL;32;40;30;Embankment toes
SL;32;40;31;Embankment transition zones
SL;32;40;32;Fill zones
SL;32;40;37;High ground crests
SL;32;40;38;High ground faces
SL;32;40;70;Rain gauge central wells
SL;32;40;71;Rain gauge turf walls
SL;32;40;90;Tree protection zones
SL;32;50;;Marine ways and waterway spaces
SL;32;50;03;Anchorages
SL;32;50;06;Beach ramps
SL;32;50;11;Canoe passes
SL;32;50;12;Canoe portage spaces
SL;32;50;18;Deep berths
SL;32;50;30;Fords
SL;32;50;43;Jetty cores
SL;32;50;44;Jetty faces
SL;32;50;45;Jetty toes
SL;32;50;46;Landing faces
SL;32;50;47;Lifeboat vessel launch spaces
SL;32;50;53;Moorings
SL;32;50;68;Quay faces
SL;32;50;69;Quay stems
SL;32;50;72;Roller boat lifts
SL;32;50;76;Scour protection aprons
SL;32;50;79;Slipways
SL;32;65;;Natural spaces
SL;32;65;12;Caves
SL;32;65;71;Riverbeds
SL;32;65;72;River reaches
SL;32;65;74;Sand dune active zones
SL;32;65;75;Sand dune stabilized zones
SL;32;80;;Semi-natural spaces
SL;32;80;03;Amenity grass areas
SL;32;80;08;Brownfield sites
SL;32;80;23;Disused mineral extraction sites
SL;32;80;46;Living roof areas
SL;32;80;47;Living willow structures
SL;32;80;48;Managed water habitats
SL;32;80;49;Managed wildlife habitats
SL;32;80;50;Mowing strips
SL;32;80;89;Transport corridor verges
SL;32;80;92;Vegetated buffer strips
SL;32;80;95;Wetland habitats
SL;32;80;96;Wildflower gardens
SL;32;80;97;Woodland habitats
SL;32;85;;Water control and retaining spaces
SL;32;85;06;Barrier beach faces
SL;32;85;10;Breakwater faces
SL;32;85;15;Control gate sills
SL;32;85;30;Fishtails
SL;32;85;35;Groyne faces
SL;32;85;42;Intake towers
SL;32;85;58;Orifice flow control structures
SL;32;85;60;Paddles and rymers
SL;32;85;65;Preliminary weirs
SL;32;85;70;Roundheads
SL;32;85;81;Spillway crests
SL;32;85;82;Spillway funnels
SL;32;85;83;Spillway faces
SL;32;85;84;Stilling wells
SL;32;85;94;Vortex flow control structures
SL;32;85;95;Water-retaining wall cores
SL;32;85;96;Water-retaining wall faces
SL;32;85;97;Water-retaining wall toes
SL;32;85;98;Weir faces
SL;32;95;;Waterways spaces
SL;32;95;15;Channel sides
SL;32;95;18;Culvert soffits
SL;32;95;20;Culvert walls
SL;32;95;23;Fish, eel and lamprey pass crests
SL;32;95;29;Fish, eel and lamprey pass faces
SL;32;95;30;Fish, eel and lamprey pass sills
